Target Keyword,Associated Keywords,月搜索量,KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit,page_id,cluster_id,page_role,content_angle,psych_safety_flag,journal_prompts,target_keyword_zh,author
free seo consultation,"free seo consultation call, free seo audit consultation, seo consultation free, free seo strategy call, free seo advice",1100,0,Transactional,T2,Landing / CTA Page,Free SEO Consultation / SEO Audit Call,Business owners dismiss free SEO consultations because most pages offering them are acquisition funnels delivering templated audits rather than site-specific analysis with committed deliverables.,"SERP is dominated by agency lead-generation pages — PinkSEO, SF Media, Angry Apple Media, IdeaHills — all offering free consultations as acquisition funnels. One exception: Luca Tagliaferro explicitly markets 'no sales pitch in the call, just free SEO strategy and consultation advice' — the only result that pre-commits to a non-sales experience. Semrush's TechRadar deal (free $300 consultation bundled with PRO subscription) inverts the model by attaching dollar value. The majority of consultation offers promise insights but deliver templated audit presentations, confirming the low-expectation prior that most business owners bring to this search. A landing page pre-committing to specific site-specific deliverables — three prioritized opportunities, competitor gap analysis, estimated ranking timeline — differentiates from the category and captures searchers bracing to endure a sales call.",预约免费咨询,,已发布,/free-seo-consultation,,PG-SDS-002,startup_diy_seo,Support,"Free SEO consultation with committed deliverables: 3 site-specific opportunities + competitor gap + ranking estimate — the opposite of every SERP result's acquisition funnel approach | Gap_Reason: All SERP pages (PinkSEO, SF Media, Angry Apple, IdeaHills) are agency lead-gen funnels; only Luca Tagliaferro explicitly commits to a non-sales call, with no pre-defined deliverables. | Aligned: Yes",N,,免费SEO咨询,Alex Chen
seo starter package,"seo starter kit, seo basics package, beginner seo package, starter seo service, entry level seo",450,17,Commercial,T2,Landing + Pricing,SEO Starter Package / Entry-Level SEO Service,Small business owners conflate SEO starter packages by price because comparison posts rank packages by cost and deliverable count rather than ranking milestone commitments.,"SERP returns bkacontent's '7 best SEO starter packages' comparison (organized by price and deliverable count), agency service landing pages (ALM Corp at $399, Merchant Service), and productized starter kits (Salted Pages, seostarterpack.net). All comparison and service content defines packages by activity deliverables — hours per month, posts per month, backlinks per month — rather than by ranking milestone commitments or trial-period performance guarantees. The $399-$599 price range creates a price-competitive category where differentiation on quality is impossible without an outcome framework. A buyer's guide introducing ranking milestone criteria — what a legitimate starter package should demonstrate after 90 days — gives buyers an evaluation framework at the exact moment they're comparing quotes and finding all packages described in identical activity-billing terms.",免费试用,,已发布,/blog/seo-starter-package,,PG-SDS-003,startup_diy_seo,Series,"SEO starter package buyer's guide: what ranking milestones to require at 90 days — the evaluation criteria missing from bkacontent's comparison and every agency service page | Gap_Reason: SERP results (bkacontent 7 best, ALM Corp, Merchant Service) rank packages by price and activity deliverables; none define ranking milestone criteria buyers can use to compare outcome quality. | Aligned: Yes",N,,SEO入门套餐,Sarah Kim
seo for technology companies,"seo for tech companies, seo for software companies, seo for tech startups, b2b tech seo, seo for it companies",1000,0,Informational,T2,Guide,Technology Company SEO / B2B Tech SEO Strategy,Tech company marketers overlook developer docs as SEO assets because tech SEO guides focus on blog content rather than API references and integration directory pages.,"SERP contains comprehensive guides — linkgraph's 35 tips, seoprofy's ultimate 2026 guide, stratabeat's 7 ways, segmentseo's complete guide. All address standard B2B SEO components: keyword research, content strategy, technical SEO, link building. One SERP result specifically notes 'prospects in the IT space are highly knowledgeable and expect the information on your site to be accurate and helpful' — the technical audience expectation is acknowledged. Missing from all guides: developer documentation, API reference pages, integration directory listings, and changelog pages as distinct SEO content assets that tech companies produce naturally and that rank for high-intent technical queries. A tech company SEO guide specifically addressing documentation SEO, integration page optimization, and developer-led content architecture gives marketing leads a framework absent from every current SERP result.",预约演示,,已发布,/blog/seo-for-technology-companies,,PG-B2B-001,b2b_agency_seo,Pillar,"Technology company SEO with developer docs, API pages, and integration directories as first-class SEO assets — the layer linkgraph (35 tips), seoprofy (ultimate guide), and stratabeat (7 ways) all omit | Gap_Reason: All SERP guides focus on blog content, keyword research, and links; developer documentation, API references, and integration directories as SEO asset types are absent from every result. | Aligned: Yes",N,,科技公司SEO,Alex Chen
seo outreach agency,"seo outreach services, seo link outreach agency, outreach seo, link building outreach agency, seo outreach company",700,3,Commercial,T2,Comparison + Landing,SEO Outreach Agency / Link Building Service,SEO managers conflate outreach agency quality with link volume because SERP results are agency service pages without editorial quality benchmarks buyers can use to compare.,"SERP returns agency service pages and agency list posts — FlyingVGroup's '6 teams that build powerful backlinks,' Four Dots (14 years experience), OutreachZ (top link building agency). All agency pages market on 'manual outreach,' 'high DR backlinks,' and 'editorial placements' — none define what their quality standards mean in measurable terms. The one data point available: OutreachZ mentions '10+ years of publisher relationships' — suggesting quality is proxied by relationship tenure rather than editorial independence verification. Buyers comparing outreach agencies see identical-sounding quality claims with no distinguishing framework available anywhere in SERP. A comparison introducing cost-per-link quality benchmarks — editorial independence test, minimum traffic threshold, topical relevance scoring — gives buyers the evaluative signal that agency marketing copy is designed to obscure.",预约演示,,已发布,/blog/seo-outreach-agency,,PG-B2B-002,b2b_agency_seo,Series,"SEO outreach agency comparison with editorial independence benchmarks and quality minimums — the evaluative framework absent from every agency service page in SERP | Gap_Reason: SERP is entirely agency service pages (FlyingVGroup, Four Dots, OutreachZ) marketing on 'manual outreach' and 'high DR links' without defining verifiable quality benchmarks buyers can apply. | Aligned: Yes",N,,SEO外链拓展服务,Alex Chen
best tools for seo for b2b,"b2b seo tools, seo tools for b2b companies, top seo tools for b2b, best b2b seo tools, b2b seo software",400,0,Commercial,T2,Comparison,B2B SEO Tools / B2B SEO Platform,B2B marketers conflate standard SEO tools with B2B SEO tools because every B2B tool comparison recommends Ahrefs and Semrush without evaluating account-level intent signal capability.,"SERP contains multiple B2B-specific tool lists — lowfruits.io (10 B2B SEO tools), poweredbysearch (20 must-have B2B SaaS SEO tools), scalixai (13 best B2B SEO tools for 2026). Most lists recommend Ahrefs, Semrush, Surfer with B2B-specific framing added as commentary rather than as evaluation criteria. PoweredBySearch is the most relevant, specifically addressing B2B SaaS SEO tool needs, but still recommends standard enterprise tool recommendations. The missing evaluation dimension: B2B SEO requires tools that can segment traffic by ICP profile, model pipeline contribution from organic content, and analyze content performance at the deal stage — not just traffic and ranking metrics. A comparison evaluating B2B SEO tools on pipeline-attribution capability and ICP-intent signal capture gives B2B marketers the framework none of the current comparison posts apply.",预约演示,,已发布,/blog/best-tools-for-seo-for-b2b,,PG-B2B-003,b2b_agency_seo,Series,"B2B SEO tools compared on pipeline attribution and ICP intent signal capability — the evaluation dimension every B2B tool list (lowfruits, poweredbysearch, scalixai) omits by recommending Ahrefs and Semrush with B2B framing | Gap_Reason: Multiple B2B tool lists exist but all recommend standard enterprise tools (Ahrefs, Semrush, Surfer) with B2B framing; none evaluate on pipeline attribution or ICP-intent signal capability. | Aligned: Yes",N,,B2B最佳SEO工具,Marcus Lee
affordable seo tools,"best affordable seo tools, low cost seo tools, cheap seo tools, budget seo tools, best cheap seo tools",900,15,Commercial,T2,Comparison + Guide,Affordable SEO Tools / Budget-Friendly SEO Software,Budget-constrained agency owners conflate cheap with affordable SEO tools because comparison posts rank by price and feature count rather than delivery capability per dollar.,"SERP returns eesel.ai's 'honest review' of 5 affordable tools, ibeamconsulting's 20+ cheap tool list, and therankmasters' 'best cheap for small businesses' — all organizing by price and feature checklist. SE Ranking appears across multiple results as the top affordable pick ($65/month annually). Mangools is consistently recommended for affordability at lower price points. Key gap: no comparison evaluates affordable tools specifically against agency delivery requirements — multi-client rank tracking, white-label reporting depth, client portal capability. All recommendations are optimized for individual SEO practitioners or small businesses, not for agencies that need white-label client delivery at sub-$200/month. An affordable tool comparison evaluating specifically on agency delivery capability converts agency owners whose budget and ICP are not served by any current SERP result.",免费试用,,已发布,/blog/affordable-seo-tools,,PG-CMP-001,seo_tools_comparison,Pillar,"Affordable SEO tools for agencies: ranked by white-label depth and multi-client capability per dollar — not by feature count as eesel.ai, ibeamconsulting, and therankmasters do | Gap_Reason: All SERP comparisons (eesel.ai, ibeamconsulting, therankmasters) rank by price and general feature checklist; agency delivery capability (white-label, multi-client management) is absent from all evaluation criteria. | Aligned: Yes",N,,实惠SEO工具,Alex Chen
serankings,"serankings review, serankings vs semrush, serankings alternative, se ranking features, se ranking pricing, se ranking seo tool",1400,12,Commercial,T2,Comparison / Alternative,SE Rankings Alternative / SEO Tool Comparison,Agency owners overlook SE Rankings' white-label limitations because SERP returns SE Ranking's own marketing content and generic review scores rather than post-onboarding agency workflow analysis.,"SERP is largely captured by SE Ranking's own content (seranking.com free tools page, main website, Google Workspace marketplace listing) and one third-party 2026 review from Demandsage. Demandsage covers SE Ranking's features comprehensively — rank tracking, keyword research, site audit, content editor — with pros and cons, but does not address agency-specific white-label delivery depth at scale. Missing from all SERP results: a comparative analysis of SE Ranking's white-label client portal depth versus agency-native white-label platforms, and what SE Ranking's limitations are for agencies managing 20+ clients at the portal configuration level. An agency owner who has outgrown SE Ranking's white-label delivery at scale finds no comparative content in SERP that explains which platform addresses those limitations. A page directly addressing 'SE Rankings vs alternatives for agency white-label delivery' captures searcher intent the current SERP entirely fails to serve.",免费试用,,已发布,/blog/serankings-alternative,,PG-CMP-002,seo_tools_comparison,Series,SE Rankings vs agency-native white-label platforms: what agencies discover after onboarding 20+ clients — the post-scale comparison SERP doesn't have | Gap_Reason: SERP dominated by SE Ranking's own content (seranking.com) and Demandsage's 2026 review; no result analyzes white-label portal depth or scale limitations for multi-client agency workflows. | Aligned: Yes,N,,SE Rankings替代方案,Marcus Lee
seo diagrams,"seo diagram, seo infographic, seo visual guide, seo flow diagram, seo architecture diagram",400,14,Informational,T2,Visual Guide,SEO Diagrams / SEO Visual Frameworks,SEO practitioners overlook visual explanation resources because SERP for SEO diagrams returns stock photo sites rather than technically accurate architecture models with explanatory annotations.,"SERP for 'seo diagrams' is dominated by stock photo and vector illustration sites — iStock (4,800+ SEO process diagram stock photos), Freepik (free graphics), Pinterest. The only editorial results are teamlewis on site structure diagrams and orbitmedia on how images affect SEO — neither a curated diagram library. This SERP state confirms an extreme gap: practitioners searching for presentation-ready SEO architecture diagrams find only stock illustrations that are visually generic and technically inaccurate for explaining crawl logic, cluster structure, or internal linking topology. This is the highest-confidence content gap in the cluster: zero editorial competition, immediate SERP dominance possible against stock photo sites, and clear recurring practical demand from practitioners preparing strategy presentations.",免费试用,,已发布,/blog/seo-diagrams,,PG-CMP-003,seo_tools_comparison,Support,"Curated SEO diagrams with explanatory annotations: crawl architecture, cluster structure, internal linking topology — the resource SERP returns iStock (4800+ stock photos) and Freepik for instead of | Gap_Reason: SERP dominated by stock photo sites (iStock 4800+ photos, Freepik, Pinterest); only teamlewis (site structure) and orbitmedia (images & SEO) are editorial results with no diagram library. | Aligned: Yes",N,,SEO图解,Sarah Kim
why use a backlink monitor tool,"backlink monitor tool, backlink monitoring software, why monitor backlinks, best backlink monitor, backlink tracking tool",300,0,Informational,T2,Definition + Guide,Backlink Monitor Tool / Link Monitoring,SEO practitioners treat backlink monitoring as reactive maintenance because published guides frame it as lost-link tracking rather than a predictive signal preceding GSC ranking drops.,"SERP contains multiple articles directly answering the question — marketingspecialists.co.za, searchxpro.com, dyadmarketing.com (revenue impact), authority.builders. All frame backlink monitoring as protection and tracking: 'track lost links,' 'spot toxic links,' 'protect your investment.' The early-warning signal framing — that link loss is detectable in backlink data 2-3 weeks before Google Search Console shows a ranking drop — is absent from all SERP results. This specific mechanism (backlink change → ranking change lag) is well-documented in the SEO community but has not been made the primary 'why use this tool' argument by any published guide. A guide leading with the predictive early-warning angle — 'detect ranking drops before they happen' rather than 'react after they happen' — differentiates from all current SERP results and reframes the tool category from reactive to proactive.",免费试用,,已发布,/blog/why-use-a-backlink-monitor-tool,,PG-SLB-001,social_link_building,Support,"Why use a backlink monitor tool: the early-warning signal that precedes GSC ranking drops by 2-3 weeks — the framing absent from marketingspecialists, searchxpro, dyadmarketing, and authority.builders | Gap_Reason: Multiple articles directly answer this question but all frame backlink monitoring as reactive (lost-link tracking, toxic-link detection); the predictive early-warning signal preceding GSC drops is absent from all SERP results. | Aligned: Yes",N,,为什么使用外链监控工具,Marcus Lee
tiktok seo tool,"seo tool for tiktok, tiktok seo tool free, tiktok seo optimization, tiktok keyword research tool, tiktok seo",500,30,Commercial,T2,Guide + Tool,TikTok SEO Tool / TikTok Search Optimization,Social media managers conflate TikTok algorithm optimization with TikTok SEO because most tools optimize captions and hashtags for recommendation rather than search-intent keywords.,"SERP returns Hootsuite's free TikTok SEO tool (caption generator optimized for hashtags and FYP), keywordtool.io (hashtag and keyword tool), Rise at Seven (ultimate TikTok Search guide), and Epidemic Sound (TikTok SEO overview). The tool category is populated with hashtag optimization and caption generation tools — optimized for For You Page recommendation signals. Rise at Seven's editorial guide does explain TikTok Search as a distinct discovery mechanism, but it is editorial content rather than a tool. The gap: no tool specifically optimizes for TikTok Search intent keywords (how users type queries into TikTok's search bar) vs hashtag optimization for FYP discovery — two different optimization targets requiring different keyword approaches. A TikTok SEO tool evaluation separating Search optimization from FYP optimization gives social media managers the distinction that no current tool page explains.",免费试用,,已发布,/blog/tiktok-seo-tool,,PG-SMS-001,social_media_seo_tools,Series,"TikTok Search optimization vs TikTok FYP optimization: different keywords, different logic — and why Hootsuite and keywordtool.io only solve the FYP side | Gap_Reason: SERP tools (Hootsuite, keywordtool.io, tiktokkeywords.com) optimize hashtags and captions for FYP recommendation; TikTok Search-intent keyword optimization is only addressed by Rise at Seven's editorial guide, not any tool. | Aligned: Yes",N,,TikTok SEO工具,Sarah Kim
cheap seo,"cheap seo services, cheap seo agency, budget seo, affordable seo packages, cheap seo company, inexpensive seo",1800,7,Commercial,T2,Comparison,Affordable SEO Services / Budget SEO Package,Small business owners conflate cheap SEO risk (black hat shortcuts) with budget-efficient affordable SEO because most comparison pages either list agencies without deliverable transparency or warn about risks — none show what quality $800 vs $2000 vs $5000/month actually includes.,"SERP returns agency ranking lists (loopexdigital, concurate, seodiscovery), pricing guides (almcorp, sparkzmarketing), and red flag warnings (fzpdigital). Key data: $800-$5000/month for quality, <$500 signals shortcuts (5 red flags article). No SERP result maps specific monthly deliverables to price tiers. Gap: a page decoding price tier deliverables (what you get at each tier) converts the buyer who has been burned by $99/month ""SEO"" and now needs to understand fair value.",免费咨询,,待写,,,PG-CMP-004,seo_tools_comparison,Series,"Cheap SEO price tiers decoded: what $500, $2000, and $5000/month actually delivers in 2026 — and the 3 deliverable gaps that separate affordable agencies from penalty-risk providers | Gap_Reason: SERP either ranks agencies or warns about risks; no page maps specific monthly deliverables to price tiers. | Aligned: Yes",N,,廉价SEO服务,Marcus Lee
best cheap seo tools,"affordable seo tools, cheap seo tools, budget seo tools, low cost seo tools, inexpensive seo software, best budget seo tools",600,18,Commercial,T2,Comparison,Budget SEO Tools / Affordable SEO Software,"Solo founders and small marketing teams select the wrong affordable SEO tool because 2026 comparison posts rank by feature count and total price, not by primary job-to-be-done — rank tracking vs keyword research vs technical audit are conflated into a single ""best cheap tool"" ranking.","SERP returns multiple comparison posts (marketermilk 24 best, seomator 10 affordable, outrank 12 cheap, rnkrocket 10 cheapest). Tools covered: SE Ranking ($44/mo), Mangools ($29/mo), Ubersuggest ($12/mo), KeySearch ($48/mo). All organized by price tier or feature count, none by use-case fit. Gap: a comparison organizing tools by primary job (rank tracking: SE Ranking; keyword research: Mangools; all-in-one: KeySearch) at each budget tier ($10-30/mo, $30-50/mo) gives buyers a framework current comparisons don't provide.",免费试用,,待写,,,PG-CMP-005,seo_tools_comparison,Series,"Best cheap SEO tools in 2026 matched to your primary job (rank tracking, keyword research, or technical audit) — not a ranked list by price but a use-case map for the $30-50/month budget | Gap_Reason: All SERP comparison posts rank by feature count or price tier; none organize by the specific job the tool is hired to do. | Aligned: Yes",N,,最实惠的SEO工具,Marcus Lee
affordable seo software,"affordable seo tool, budget seo software, cheap seo software, low cost seo software, best affordable seo software, seo software for small business",500,8,Commercial,T2,Comparison,Affordable SEO Software / Budget SEO Platform,"Marketing managers conflate affordable SEO software with feature-limited tools because no 2026 comparison shows which features a 1-5 person team actually uses vs which are enterprise extras being sold down-market, resulting in overpaying for features they will never touch.","SERP returns the same tool comparison posts as ""best cheap seo tools"" (seomator, rnkrocket, donutzdigital). SE Ranking and Mangools dominate affordable recommendations. Key gap: none of the comparisons map features to team size (solo founder vs 2-5 person marketing team vs small agency) — the buying decision for a solo vs a 3-person team is fundamentally different. Gap: feature-to-team-size mapping at each price tier ($29-50/mo range) gives marketing managers a decision framework absent from every current affordable SEO software review.",免费试用,,待写,,,PG-CMP-006,seo_tools_comparison,Series,"Affordable SEO software matched to team size (solo, 2-5 person, small agency) — the feature map that stops marketing managers from paying for 500 keywords when they only track 50 | Gap_Reason: All affordable SEO software reviews compare by price and feature count; none map feature needs to team size or workflow type. | Aligned: Yes",N,,实惠的SEO软件,Marcus Lee
free seo company,"free seo services, free seo help, seo company free trial, seo services for free, get seo for free, free seo agency",600,1,Problem-aware,T3,Guide,Free SEO Services / Zero-Cost SEO Options,"Small business owners conflate free SEO tools with free professional SEO service delivery because SERP results mix free tools pages, free consultation offers, and agency pricing guides — none directly addresses why ""free SEO company"" doesn't exist and what the closest realistic alternatives are.","SERP returns pricing guides (almcorp), affordable agency lists, and free tools articles. The searcher intent is transactional — finding SEO services at zero cost. No SERP result directly explains the free/paid spectrum: what is genuinely free forever (GSC, GA4, basic tools) vs free-to-start hooks (audits, consultations) vs performance-based models (low upfront, % of results). Gap: a page mapping the entire ""free SEO"" spectrum converts the zero-budget searcher into a realistic buyer who understands what quality SEO actually costs and what partial substitutes exist.",免费咨询,,待写,,,PG-EOS-004,ethical_organic_seo,Series,"Free SEO company: what actually exists at zero cost (tools, audits, consultations) vs what ""free"" really means — and the performance-based SEO model that comes closest for zero-budget businesses | Gap_Reason: SERP returns agency lists and pricing guides; no page maps the genuine free/paid spectrum with clear category distinctions. | Aligned: Yes",N,,免费SEO公司,Sarah Kim
organic seo service,"organic seo services, organic search optimization service, natural seo service, organic seo company, organic search seo, long term seo service",600,5,Transactional,T2,Guide,Organic SEO Service / Long-Term SEO Delivery Model,"Business owners conflate ""organic SEO service"" with content writing because most agency service pages describe blog post production as organic SEO, without showing how technical fixes, link building, and content work together in a structured monthly delivery model.","SERP returns organic vs paid comparison articles (searchatlas, brandleapagency) and agency service pages (percepture). Most content explains the organic/paid distinction (costs, timelines, CTR differences) rather than what organic SEO service delivery actually looks like month-by-month. Key data: 3-6 months for initial results, 12-18 months for meaningful revenue in competitive niches. Gap: a page showing the month-by-month organic SEO delivery workflow (Month 1 = audit + keyword strategy, Month 2 = technical fixes + content plan, Month 3+ = content + link building + reporting) — what no current agency service page explains at this level of operational detail.",免费咨询,,待写,,,PG-EOS-005,ethical_organic_seo,Series,Organic SEO service delivery decoded: the month-by-month workflow from audit to first-page rankings — what agencies actually do each month that blog post production alone can't replace | Gap_Reason: SERP explains organic vs paid differences; none show the operational delivery model month-by-month. | Aligned: Yes,N,,自然搜索SEO服务,Sarah Kim
ethical seo services,"ethical seo agency, white hat seo services, sustainable seo services, ethical seo company, responsible seo, ethical link building",450,12,Transactional,T2,Comparison,Ethical SEO Agency / White-Hat SEO Service Delivery,"Business owners conflate ethical SEO with slow SEO because agency comparison posts list tactics ethical agencies avoid (PBNs, link farms, AI spam) without showing what ethical agencies actively deliver — leaving buyers unable to verify a vendor's claims during the sales process.","SERP returns ethical agency ranking lists (trailblazermktg 10 best, thebacklinkcompany white hat services). Key finding: ethicalseo.io exists as a dedicated ""Ethical SEO Agency for SaaS"" brand. Most results define ethical SEO by what agencies refuse to do, not what they deliver proactively. Gap: a verification guide — the specific questions to ask, audit steps to run, and delivery evidence to request that let buyers distinguish genuinely ethical agencies from those that claim ethics as a marketing position.",免费咨询,,待写,,,PG-EOS-006,ethical_organic_seo,Series,How to verify an ethical SEO agency before signing: 5 questions and 3 audit steps that separate genuine white-hat delivery from agencies using ethics as a marketing claim | Gap_Reason: SERP ranks ethical agencies by reputation; no guide shows buyers how to verify ethical practice before committing to a contract. | Aligned: Yes,N,,合规SEO服务,Sarah Kim
manual seo service,"human seo service, manual seo optimization, manual link building service, manual seo work, hands on seo service, manual search optimization",500,3,Transactional,T2,Guide,Manual SEO Service / Human-Led SEO Agency Engagement,"Business owners searching ""manual SEO service"" conflate task-level manual work (human content vs AI) with engagement model (managed agency vs self-service tools), because comparison posts debate automation at the task level (link building, auditing) without ever defining what ""manual SEO service"" looks like as a client engagement.","SERP returns manual vs automated SEO debate articles (14kbsol, splashsol, dmcockpit). All compare task-level manual vs automated (rank tracking, content, link building). The 30/70 hybrid model dominates 2026 thinking. No page defines manual SEO as a client engagement model — what you receive monthly, what you review, what the approval workflow looks like. Gap: a page defining manual SEO service as a managed delivery engagement (monthly deliverables, approval checkpoints, reporting cadence) vs self-service tools — the definition the searcher actually needs to evaluate a vendor.",免费咨询,,待写,,,PG-B2B-004,b2b_agency_seo,Series,"Manual SEO service defined: what human-led delivery looks like as a monthly client engagement — deliverables, approval checkpoints, and the 30/70 automation split agencies actually use in 2026 | Gap_Reason: SERP debates manual vs automated at the task level; no page defines manual SEO as a client engagement model with monthly structure. | Aligned: Yes",N,,人工SEO服务,Alex Chen
b2b saas seo,"seo for b2b saas, b2b saas seo strategy, b2b saas organic growth, saas b2b seo, b2b software seo, saas seo pipeline",800,2,Informational,T2,Guide,B2B SaaS SEO Strategy / Pipeline-Attributed Organic Growth,"B2B SaaS marketers conflate content-led growth with B2B SaaS SEO because every 2026 strategy guide emphasizes BOFU comparison pages and keyword clusters, without addressing how to build the pipeline attribution layer that connects organic sessions to CRM deals and proves SEO ROI to leadership.","SERP returns comprehensive strategy guides from agencies (purplepath, revenuezen, yesoptimist, saas-seo.com, angelfish). All prioritize BOFU comparison/alternative pages and cluster-based keyword strategy. Key data: 94% of B2B buyers use LLMs during purchase; median 3-year SEO ROI is 702%; organic leads convert 1.5-3x better than paid. No guide addresses the attribution infrastructure (GSC → GA4 → CRM) that transforms traffic data into pipeline dollars. Gap: a B2B SaaS SEO guide built around the attribution reporting layer — showing exactly how to set up the tracking that proves organic value in your CRM.",免费咨询,,待写,,,PG-SFS-005,seo_for_saas,Series,"B2B SaaS SEO in 2026: the pipeline attribution layer every strategy guide skips — how to connect GSC → GA4 → CRM to prove organic ROI to leadership, not just traffic | Gap_Reason: All SERP strategy guides focus on content clusters and BOFU keywords; none show the attribution infrastructure connecting organic sessions to CRM pipeline. | Aligned: Yes",N,,B2B SaaS SEO策略,Sarah Kim
saas seo expert,"saas seo consultant, saas seo specialist, hire saas seo expert, saas seo services, best saas seo consultant, saas seo advisor",600,1,Transactional,T2,Guide,SaaS SEO Consultant / Fractional SaaS SEO Expert,"SaaS founders conflate SaaS SEO expertise with general SEO expertise because consultant ranking lists evaluate by testimonials and portfolio volume, not by the specific capability that matters for SaaS: building the PLG content architecture that drives trial signups rather than pageviews.","SERP returns extensive consultant ranking lists (onelittleweb 46+, exaltgrowth 17, taylorscherseo 16 vetted B2B SaaS agencies). Pricing: $3,000-$7,000/month for consultants, $4,000-$10,000 for fractional SEO. Key insight from alexbirkett: ""SaaS SEO is not content marketing with a subscription billing page."" No ranking guide shows founders how to evaluate consultant quality on the trial-conversion funnel architecture specifically. Gap: a hiring guide with 5 specific evaluation questions and 3 portfolio evidence criteria that distinguish SaaS-fluent consultants from generalists who repackaged their offer as ""SaaS SEO.""",免费咨询,,待写,,,PG-SFS-006,seo_for_saas,Series,How to hire a SaaS SEO expert: 5 evaluation questions and 3 portfolio evidence criteria that separate trial-conversion specialists from generalists with a SaaS rebrand | Gap_Reason: SERP ranking lists evaluate consultants by testimonials and portfolio size; none give founders a vetting framework for SaaS-specific capability. | Aligned: Yes,N,,SaaS SEO专家,Sarah Kim
integrated seo,"integrated seo strategy, seo integration, omnichannel seo, search everywhere optimization, integrated digital marketing seo, seo across channels",900,0,Informational,T2,Guide,Integrated SEO Strategy / Search Everywhere Optimization,"Marketing managers conflate ""integrated SEO"" with adding SEO tasks to existing channels because all 2026 strategy guides define integration at the concept level (SEO + PPC + social + CRM) without showing the operational template — who owns what, which data flows where, how the monthly workflow runs across functions.","SERP returns strategy guides (linkbuildinghq, opace, wf-creative) defining integrated SEO as ""Search Everywhere Optimization"" covering TikTok, YouTube, Reddit, voice, AI in addition to Google. The concept is well-defined; the implementation is not. Key finding: successful integrated SEO requires coordination across editorial, IT, UX, PR, and product management. No guide shows the operational template: team roles, data handoffs, reporting cadences. Gap: an integrated SEO operational guide for 5-15 person marketing teams with the exact workflow, tool stack, and accountability map that translates the strategy concept into weekly execution.",免费咨询,,待写,,,PG-B2B-005,b2b_agency_seo,Series,"Integrated SEO operational guide for 5-15 person teams: team roles, data handoffs, and the monthly workflow that turns Search Everywhere Optimization from strategy concept to weekly execution | Gap_Reason: All SERP strategy guides define integrated SEO conceptually; none provide the operational template with role assignments and data flow. | Aligned: Yes",N,,整合SEO策略,Alex Chen
