关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,DR过滤,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,排序权重,内容状态,发布URL,备注
what does a square mean in astrology,竞品映射,500,13,,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrology transits,竞品映射,500,24,0.3,,14,⚠️中,0,14,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
saturn return in pisces,竞品映射,500,4,0.04,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
mecury in retrograde,竞品映射,500,1,0.02,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura color quiz,竞品映射,500,3,0.07,,9,❌强,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
trine astrology,竞品映射,500,12,0.02,,32,⚠️中,0,32,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
bharani,竞品映射,500,1,0.06,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does an orange aura mean,竞品映射,500,0,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
dark blue aura meaning,竞品映射,500,0,0.02,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
mula nakshatra,竞品映射,500,0,0.04,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek astrocartography,种子词拓展,450,41,0.8,,61,❌强,0,61,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
what is a full moon ritual,竞品映射,450,1,0.02,,17,✅弱,0,17,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
uttara bhadrapada,竞品映射,450,1,,,6,✅弱,0,6,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ic astrology,竞品映射,450,18,0.07,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
full moon energy,竞品映射,450,8,0.02,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek transit calculator,种子词拓展,450,11,1.6,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
ashlesha,竞品映射,450,1,0.07,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro transit chart,竞品映射,450,35,0.06,,12,❌强,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,1,,,
what does the 8th house represent,竞品映射,450,21,0.03,,10,✅弱,0,10,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
aura color test,竞品映射,450,2,0.05,,18,❌强,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
mercury retrograde 2023,竞品映射,450,1,0.04,,19,❌强,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
7th house astrology calculator,竞品映射,450,25,0.6,,15,⚠️中,0,15,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
birth chart astro seek,种子词拓展,400,3,1.5,,68,✅弱,0,68,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
how to see your aura,竞品映射,400,2,0.03,,20,✅弱,0,20,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrology birth chart calculator free,种子词拓展,400,,0.07,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
astrological birth chart calculator,种子词拓展,400,67,0.35,,27,⚠️中,0,27,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
is persephone a goddess,竞品映射,400,1,,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ketu mahadasha,竞品映射,400,0,,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
zodiac birth chart calculator,种子词拓展,400,74,0.45,,27,⚠️中,0,27,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
what does orange aura mean,竞品映射,400,0,0.01,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
highly sensitive person book,种子词拓展,400,15,0.2,,45,❌强,0,45,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
what is mercury retrograde spiritual meaning,竞品映射,400,4,0.02,,35,⚠️中,0,35,✅相关,,Informational,❌跳过,❌跳过,,,❌跳过,,,2,,,
what color is your aura,竞品映射,400,0,0.03,,21,✅弱,0,21,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
uttara bhadrapada nakshatra,竞品映射,400,2,,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
uttara phalguni,竞品映射,400,1,0.05,,6,✅弱,0,6,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
free birth chart calculator online,种子词拓展,400,,0.08,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
purva bhadrapada,竞品映射,400,0,,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
natal chart transits,竞品映射,400,19,0.06,,12,⚠️中,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
what was persephone the goddess of,竞品映射,400,5,0.02,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
13th astrological sign,竞品映射,400,9,0.01,,41,✅弱,0,41,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
revati,竞品映射,400,4,0.08,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
north node in sagittarius,竞品映射,350,0,0.08,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
vedic astrology chart with interpretation,竞品映射,350,21,0.04,,5,⚠️中,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
free online vedic birth chart calculator,种子词拓展,350,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
light green aura meaning,竞品映射,350,1,0.02,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart transits,竞品映射,350,22,0.15,,12,⚠️中,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
atmakaraka calculator,竞品映射,350,1,0.05,,16,⚠️中,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
what is ic in astrology,竞品映射,350,17,,,15,✅弱,0,15,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek composite chart,种子词拓展,350,18,,,64,❌强,0,64,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
saturn in pisces meaning,竞品映射,350,6,0.03,,30,✅弱,0,30,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
free starseed birth chart calculator,种子词拓展,350,16,0.6,,1,⚠️中,0,1,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
ophiuchus zodiac sign dates,竞品映射,350,9,0.02,,26,✅弱,0,26,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ic in astrology,竞品映射,350,14,0.07,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
descendant astrology,竞品映射,350,9,0.07,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek solar return,种子词拓展,350,18,,,74,❌强,0,74,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
punarvasu,竞品映射,350,0,0.08,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
benefic,竞品映射,300,4,0.05,,5,❌强,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
astrocartography interpretation,竞品映射,300,17,0.35,,30,✅弱,0,30,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
whats my 7th house,竞品映射,300,15,0.6,,6,⚠️中,0,6,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
astro birth chart calculator,种子词拓展,300,72,0.35,,25,⚠️中,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
uranus opposition,竞品映射,300,0,0.09,,4,✅弱,0,4,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
sextile in astrology,竞品映射,300,8,0.06,,25,✅弱,0,25,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro.com natal chart calculator birth chart,种子词拓展,300,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
how to find your north node,竞品映射,300,26,0.04,,0,✅弱,0,0,✅相关,,Informational,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what is my midheaven,竞品映射,300,23,0.02,,1,⚠️中,0,1,✅相关,,Informational,✅通过,📌长尾词,,,📌长尾词,,,2,,,
free dosha quiz no email,竞品映射,300,13,0.1,,20,❌强,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
27 nakshatras,竞品映射,300,3,0.09,,4,⚠️中,0,4,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
abundant energy,竞品映射,300,3,1.8,,5,❌强,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,1,,,
highly sensitive person vs autism,种子词拓展,300,2,,,25,✅弱,0,25,✅相关,,Commercial,✅通过,⚡快速胜利,,,⚡快速胜利,,,4,,,
synastry compatibility,种子词拓展,300,20,0.1,,5,✅弱,0,5,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
what's my north node,竞品映射,300,28,0.03,,0,✅弱,0,0,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
chakra test,竞品映射,300,5,0.06,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
violet aura meaning,竞品映射,300,0,0.05,,4,✅弱,0,4,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what color is my aura quiz,竞品映射,300,3,0.04,,21,⚠️中,0,21,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
vedic calculator,竞品映射,300,37,0.01,,14,⚠️中,0,14,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
mars return,竞品映射,300,10,0.08,,39,⚠️中,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
uttarabhadra nakshatra,竞品映射,300,2,0.06,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does the color white mean spiritually,竞品映射,300,0,,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
malefic planets,竞品映射,300,0,,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
krittika,竞品映射,300,0,,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
south node meaning,竞品映射,300,6,0.02,,6,✅弱,0,6,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is persephone the god of,竞品映射,250,1,0.02,,11,✅弱,0,11,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
accurate past life calculator,竞品映射,250,8,0.7,,6,✅弱,0,6,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
juno sign,竞品映射,250,12,0.4,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
square astrology,竞品映射,250,12,,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how to know your aura color,竞品映射,250,0,0.02,,21,⚠️中,0,21,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
what is north node in astrology,竞品映射,250,28,0.02,,15,✅弱,0,15,✅相关,,Informational,✅通过,📌长尾词,,,📌长尾词,,,3,,,
birth chart calculator astrology,种子词拓展,250,75,0.45,,39,❌强,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
lime green aura meaning,竞品映射,250,3,0.02,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
taurus north node,竞品映射,250,0,0.08,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
vedic astrology chart interpretation,竞品映射,250,13,0.04,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
chiron in 12th house,竞品映射,250,0,0.2,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro.com free birth chart calculator,种子词拓展,250,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
vedic astrology natal chart,竞品映射,250,28,0.5,,7,✅弱,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
whats my aura color,竞品映射,250,2,0.05,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what is your aura,竞品映射,250,0,0.03,,22,⚠️中,0,22,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
aura reader,竞品映射,250,4,0.8,,28,⚠️中,0,28,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
shani mahadasha,竞品映射,250,0,0.3,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ardra,竞品映射,250,2,0.09,,2,⚠️中,0,2,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
mars in 12th house,竞品映射,250,0,0.03,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
north node taurus,竞品映射,250,0,0.08,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
transits astrology,竞品映射,250,20,0.25,,13,✅弱,0,13,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
three gunas,竞品映射,250,15,0.04,,44,❌强,0,44,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
white spiritual meaning,竞品映射,250,0,,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro seek saturn return,种子词拓展,250,42,,,35,✅弱,0,35,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
free astrology birth chart calculator,种子词拓展,250,70,0.09,,25,⚠️中,0,25,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
cancer north node,竞品映射,250,0,0.03,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
the 13 zodiac signs,竞品映射,250,13,0.03,,33,⚠️中,0,33,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
what is sextile in astrology,竞品映射,250,9,,,20,✅弱,0,20,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
synastry chart compatibility,种子词拓展,250,24,0.08,,15,✅弱,0,15,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
purvabhadra nakshatra,竞品映射,250,0,0.08,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
white aura color meaning,竞品映射,250,0,0.01,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura colors and their meaning,竞品映射,250,9,0.02,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
imum coeli meaning,竞品映射,250,6,,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
8th house in astrology,竞品映射,250,14,0.07,,27,⚠️中,0,27,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
gemini north node,竞品映射,250,1,0.05,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
best free synastry report,竞品映射,250,26,0.15,,8,✅弱,0,8,✅相关,,Commercial,✅通过,🎯战略词,,,🎯战略词,,,4,,,
north node leo,竞品映射,250,0,0.06,,11,✅弱,0,11,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura scan,竞品映射,250,17,6,,16,⚠️中,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
highly sensitive person quiz,种子词拓展,250,12,0.5,,39,⚠️中,0,39,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
natal chart interpretation,种子词拓展,250,24,0.45,,19,⚠️中,0,19,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
magha,竞品映射,250,2,0.25,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
transit birth chart,竞品映射,200,22,0.09,,12,✅弱,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
vedic astro chart,竞品映射,200,39,0.45,,7,✅弱,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
when did neptune enter pisces,竞品映射,200,1,,,16,✅弱,0,16,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
virgo sex,竞品映射,200,1,,,32,⚠️中,0,32,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
birth chart houses calculator,种子词拓展,200,49,0.6,,47,⚠️中,0,47,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
astro-seek free birth chart calculator,种子词拓展,200,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
blue aura color,竞品映射,200,0,0.05,,17,✅弱,0,17,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
rahu in 2nd house and ketu in 8th house,竞品映射,200,0,,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astrodienst birth chart calculator,种子词拓展,200,61,2,,76,❌强,0,76,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
highly sensitive person debunked,种子词拓展,200,24,0.06,,41,⚠️中,0,41,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
what does sextile mean in astrology,竞品映射,200,12,,,25,✅弱,0,25,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
things to do on a full moon for good luck,竞品映射,200,1,0.02,,35,⚠️中,0,35,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
north node sign,竞品映射,200,14,0.1,,23,✅弱,0,23,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
mrigashira,竞品映射,200,0,,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
chinese birth chart calculator,种子词拓展,200,50,0.6,,12,⚠️中,0,12,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
yellow green aura meaning,竞品映射,200,0,0.02,,28,⚠️中,0,28,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
dark green aura meaning,竞品映射,200,1,0.01,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
native american zodiac signs by date of birth,竞品映射,200,9,0.01,,31,⚠️中,0,31,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
13th star sign,竞品映射,200,12,,,26,✅弱,0,26,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
south node in scorpio,竞品映射,200,0,0.1,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
chinese astrology birth chart calculator,种子词拓展,200,24,,,13,✅弱,0,13,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
astrological birth chart calculator online free,种子词拓展,200,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
malefics,竞品映射,200,1,0.05,,12,✅弱,0,12,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
trimet transit tracker,种子词拓展,200,6,0.01,,77,❌强,0,77,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
aura test free,竞品映射,200,4,0.06,,2,⚠️中,0,2,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
dk planet calculator,竞品映射,200,6,0.25,,2,✅弱,0,2,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
past life calculator,竞品映射,200,20,0.9,,18,✅弱,0,18,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
trine in astrology,竞品映射,200,7,0.02,,21,✅弱,0,21,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart calculator compatibility,种子词拓展,200,28,,,8,✅弱,0,8,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
the root chakra,竞品映射,200,16,0.03,,22,✅弱,0,22,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
aura amarilla significado,竞品映射,200,0,,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
what does square mean in astrology,竞品映射,200,13,,,21,✅弱,0,21,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
juno asteroid astrology,竞品映射,200,13,,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
vedic astrology houses,竞品映射,200,7,0.05,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro.com natal chart calculator free birth chart,种子词拓展,200,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
online vedic birth chart calculator,种子词拓展,200,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
orange aura color meaning,竞品映射,200,0,0.02,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
solar chart,竞品映射,200,3,0.05,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
north node gemini,竞品映射,200,0,0.05,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
rahu in 11th house and ketu in 5th house,竞品映射,200,0,,,23,✅弱,0,23,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
whats my aura,竞品映射,200,3,0.04,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
astro-charts birth chart calculator,种子词拓展,200,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
how did i die in my past life astrology calculator,竞品映射,200,26,0.6,,26,⚠️中,0,26,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,2,,,
what is a sextile in astrology,竞品映射,200,12,0.05,,20,✅弱,0,20,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
rahu ketu in english,竞品映射,200,1,,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
western astrology birth chart calculator,种子词拓展,200,,,,,,0,待填,✅相关,,待确认,待填,📌长尾词,,,📌长尾词,,,1,,,
red aura color meaning,竞品映射,200,0,0.02,,15,✅弱,0,15,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
famous highly sensitive person,种子词拓展,200,0,,,9,✅弱,0,9,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
sextile meaning astrology,竞品映射,200,16,,,19,✅弱,0,19,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
saturn mahadasha,竞品映射,200,0,0.25,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
highly sensitive person treatment,种子词拓展,200,1,0.7,,31,⚠️中,0,31,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
north node sagittarius,竞品映射,200,0,0.1,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
how to balance vata dosha,竞品映射,200,1,0.15,,17,⚠️中,0,17,✅相关,,Informational,✅通过,⚡快速胜利,,,⚡快速胜利,,,2,,,
elvis presley birth chart,竞品映射,200,4,,,10,✅弱,0,10,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
birth chart transit,竞品映射,200,21,0.9,,7,✅弱,0,7,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
saturn return calculator cafe astrology,种子词拓展,200,37,,,41,⚠️中,0,41,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
violet aura,竞品映射,200,0,0.03,,5,✅弱,0,5,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ketu astrology,竞品映射,200,2,2.5,,7,✅弱,0,7,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
3 gunas,竞品映射,200,12,0.01,,20,✅弱,0,20,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
the highly sensitive person book,种子词拓展,200,29,0.2,,45,⚠️中,0,45,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
aura azul significado,竞品映射,200,0,,,36,⚠️中,0,36,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
vedic astrology meaning,竞品映射,200,21,,,14,✅弱,0,14,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
the color blue spiritual meaning,竞品映射,200,4,0.03,,8,✅弱,0,8,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
