关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,竞争建议,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,弱度意图分,生产准入_自动,手动生产准入,生产准入,生产状态,page_id,发布URL,备注,cluster_id
page 1 of google,种子词拓展,250,25,3,,41,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo tools for bloggers,种子词拓展,250,24,0.35,,68.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
e commerce seo strategy,种子词拓展,250,30,4,,67,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
examples of seo in digital marketing,种子词拓展,250,26,0.4,,44,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
1st page of google,种子词拓展,250,30,3,,69,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
what is page optimization,种子词拓展,250,28,0.15,,62,⚠️中,,待填,⚠️待确认,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
enterprise seo software tools,种子词拓展,250,28,,,50,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,b2b_agency_seo
diy seo courses,种子词拓展,250,22,1.6,,24,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,startup_diy_seo
search engine optimization on wordpress,种子词拓展,250,28,1.4,,79,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo software analytics,种子词拓展,250,29,,,62.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
search engine optimization campaign,种子词拓展,250,24,6,,57,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo optimization for small business,种子词拓展,250,27,0.7,,77,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
google page 1,种子词拓展,250,26,3,,61,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
search engine optimization auditing report,种子词拓展,250,24,,,23,✅弱,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
moz create an account,种子词拓展,250,28,,,50,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo software price,种子词拓展,250,26,1.6,,25,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,seo_tools_comparison
seo digital marketing tools,种子词拓展,250,30,1.8,,69,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
google 1st page,种子词拓展,250,26,6,,75,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
learn search engine marketing,种子词拓展,250,29,2.5,,91,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to decide on keywords for seo,种子词拓展,250,30,2.5,,71.5,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
free seo report pdf,种子词拓展,250,30,9,,26,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,agency_rank_tracking
seo tools for content writing,种子词拓展,250,29,17,,32,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
good seo software,种子词拓展,200,24,4,,69,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
free search engine optimizers,种子词拓展,200,28,4,,41.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
content optimizer tool,种子词拓展,200,27,4.5,,43,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
basic seo audit,种子词拓展,200,25,3,,76.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
how to optimize your website for search engines,种子词拓展,200,22,4,,79.5,⚠️中,,待填,⚠️待确认,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to do an seo analysis,种子词拓展,200,21,1.5,,57,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
optimize search,种子词拓展,200,23,0.7,,40.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
is seo free,种子词拓展,200,24,0.4,,56.5,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
seo landing page optimization,种子词拓展,200,26,6,,71.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
content auditing software,种子词拓展,200,24,6,,24.5,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,technical_seo_audit
seo software free download full version with crack,种子词拓展,200,24,,,5,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,seo_tools_comparison
seo logic,种子词拓展,200,22,,,42,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo score api,种子词拓展,200,26,,,37.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo how to choose keywords,种子词拓展,200,23,3,,64,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to search engine optimize a website,种子词拓展,200,22,1.3,,80.5,⚠️中,,待填,⚠️待确认,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo automation software free,种子词拓展,200,20,,,38,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,ai_seo_automation
seo optimized content writing,种子词拓展,200,25,2.5,,67.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to write an seo article,种子词拓展,200,26,1.6,,72.5,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to select the right keywords for seo,种子词拓展,200,28,,,81,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo troubleshooting,种子词拓展,200,28,,,75.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
moz pro features,种子词拓展,200,24,13,,41.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
local seo audit free,种子词拓展,200,22,5,,17,✅弱,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,technical_seo_audit
how to learn seo content writing,种子词拓展,200,28,1.8,,78.5,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,startup_diy_seo
how to make search engine optimization work for your website,种子词拓展,200,20,1.9,,79.5,⚠️中,,待填,⚠️待确认,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
google search visibility,种子词拓展,200,21,4,,36,✅弱,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
moz pro medium,种子词拓展,200,25,4,,90.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo tools for social media,种子词拓展,200,29,4.5,,70,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
page seo meaning,种子词拓展,200,28,,,53,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
search engine marketing tutorial,种子词拓展,200,30,0.09,,79.5,❌强,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
how to create an seo report,种子词拓展,200,30,,,75,⚠️中,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
content marketing seo tips,种子词拓展,200,30,,,56,❌强,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
why choose moz,种子词拓展,200,21,,,57.5,⚠️中,,待填,⚠️待确认,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
large business search engine optimization tools,种子词拓展,200,27,,,16.5,✅弱,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
increase search ranking,种子词拓展,200,28,3,,50,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
agency search engine optimisation tools,种子词拓展,200,22,,,68.5,❌强,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
search engine optimization metrics,种子词拓展,200,21,3,,59.5,⚠️中,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
learn about moz pro,种子词拓展,200,26,,,90.5,❌强,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,seo_tools_comparison
optimizing your website for search engines,种子词拓展,200,20,7,,80,❌强,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,
how to write a blog article for seo,种子词拓展,200,29,0.6,,48.5,✅弱,,待填,✅相关,,Informational,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,startup_diy_seo
developing an seo strategy,种子词拓展,200,26,1.6,,74.5,⚠️中,,待填,✅相关,,待确认,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
how to improve search engine rankings,种子词拓展,200,28,1.9,,74.5,⚠️中,,待填,⚠️待确认,,Informational,待填,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
social signals google,种子词拓展,200,21,,,27,✅弱,,待填,⚠️待确认,,待确认,待填,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,
